ID,Название,Описание,Цена,Изображение
24,Гироскутер Xiaomi,Гироскутер с управлением через приложение.,2600,https://via.placeholder.com/200?text=Товар+24
25,Электросамокат Ninebot,Электросамокат с максимальной скоростью 25 км/ч.,2750,https://via.placeholder.com/200?text=Товар+25
26,Рюкзак The North Face,Удобный рюкзак для путешествий и повседневного использования.,2900,https://via.placeholder.com/200?text=Товар+26
27,Спортивная обувь Adidas Ultraboost,Легкие спортивные кроссовки для бега.,3050,https://via.placeholder.com/200?text=Товар+27
28,Футболка Nike Dri-FIT,Футболка из дышащего материала для тренировок.,3200,https://via.placeholder.com/200?text=Товар+28
29,Джинсы Levi's 501,Классические джинсы с прямым кроем.,3350,https://via.placeholder.com/200?text=Товар+29
30,Сумка Michael Kors,Стильная сумка для документов и ноутбука.,3000,https://via.placeholder.com/200?text=Товар+30
31,Пальто Calvin Klein,Элегантное пальто для холодной погоды.,3150,https://via.placeholder.com/200?text=Товар+31
32,Шарф Burberry,Шарф из натуральной шерсти.,3300,https://via.placeholder.com/200?text=Товар+32
33,Парфюм Chanel No. 5,Популярный парфюм с цветочными нотами.,3450,https://via.placeholder.com/200?text=Товар+33
34,Косметика L'Oreal,Косметика для ухода за кожей с витаминами.,3600,https://via.placeholder.com/200?text=Товар+34
35,Шампунь Pantene Pro-V,Шампунь для нормальных и сухих волос.,3750,https://via.placeholder.com/200?text=Товар+35
36,Крем для лица Nivea,Крем для лица с защитой от солнца.,3900,https://via.placeholder.com/200?text=Товар+36
37,Зубная паста Sensodyne,Зубная паста для чувствительных зубов.,4050,https://via.placeholder.com/200?text=Товар+37
38,Сыр моцарелла Galbani,Сыр моцарелла для пиццы и салатов.,4200,https://via.placeholder.com/200?text=Товар+38
39,Кофе Lavazza,Кофе в зернах с ярким вкусом и ароматом.,4350,https://via.placeholder.com/200?text=Товар+39
40,Шоколад Milka,Шоколад с нежной текстурой.,4000,https://via.placeholder.com/200?text=Товар+40
41,Чай Lipton,Чай с натуральными ароматами.,4150,https://via.placeholder.com/200?text=Товар+41
42,Орехи Mix Nuts,Смесь орехов для закусок.,4300,https://via.placeholder.com/200?text=Товар+42
43,Сухофрукты Sun-Maid,Сухофрукты для здорового перекуса.,4450,https://via.placeholder.com/200?text=Товар+43
44,Вино Cabernet Sauvignon,Вино с ярким вкусом и ароматом.,4600,https://via.placeholder.com/200?text=Товар+44
45,Пиво Heineken,Пиво с легким хмелевым вкусом.,4750,https://via.placeholder.com/200?text=Товар+45
46,Соки Tropicana,Соки из свежих фруктов.,4900,https://via.placeholder.com/200?text=Товар+46
47,Энергетик Red Bull,Энергетик для бодрости и энергии.,5050,https://via.placeholder.com/200?text=Товар+47
48,Вода San Pellegrino,Минеральная вода с газом.,5200,https://via.placeholder.com/200?text=Товар+48
49,Печенье Oreo,Песочное печенье с кремовой начинкой.,5350,https://via.placeholder.com/200?text=Товар+49
50,Конфеты Kinder,Конфеты с шоколадной оболочкой.,5000,https://via.placeholder.com/200?text=Товар+50
